EntityID,ProductOrPath,Processor,StartHour,EndHour
1022,Sapphire,Fit-Check,840.0,504.0
1022,Sapphire,Bonded,528.0,624.0
1022,Sapphire,Vacuum,624.0,648.0
1022,Sapphire,Post Bond Clean,648.0,648.0
1022,Sapphire,Clean & Classify,648.0,840.0
1022,Sapphire,MAC,2520.0,2520.0
1022,Sapphire,LastTouchups,2520.0,2520.0
1022,Sapphire,Cure Times.ShipCureDate,2520.0,1032.0
1023,Sapphire,Fit-Check,576.0,528.0
1023,Sapphire,Bonded,552.0,624.0
1023,Sapphire,Vacuum,624.0,648.0
1023,Sapphire,Post Bond Clean,648.0,648.0
1023,Sapphire,Pre-CICRW,1536.0,1584.0
1023,Sapphire,Frontside Overcoating,1584.0,648.0
1023,Sapphire,Clean & Classify,648.0,1152.0
1023,Sapphire,MAC,2496.0,2496.0
1023,Sapphire,LastTouchups,2496.0,2496.0
1023,Sapphire,Cure Times.ShipCureDate,2496.0,2664.0
1024,Sapphire,Fit-Check,576.0,528.0
1024,Sapphire,Bonded,552.0,624.0
1024,Sapphire,Vacuum,624.0,648.0
1024,Sapphire,Post Bond Clean,648.0,648.0
1024,Sapphire,Pre-CICRW,1536.0,1584.0
1024,Sapphire,Frontside Overcoating,1584.0,672.0
1024,Sapphire,Clean & Classify,672.0,1152.0
1024,Sapphire,MAC,2496.0,2520.0
1024,Sapphire,LastTouchups,2520.0,2520.0
1024,Sapphire,Cure Times.ShipCureDate,2520.0,2688.0
1025,Sapphire,Fit-Check,576.0,552.0
1025,Sapphire,Bonded,552.0,648.0
1025,Sapphire,Vacuum,648.0,672.0
1025,Sapphire,Post Bond Clean,672.0,672.0
1025,Sapphire,Clean & Classify,792.0,1176.0
1025,Sapphire,MAC,2520.0,2520.0
1025,Sapphire,LastTouchups,2520.0,2520.0
1025,Sapphire,Cure Times.ShipCureDate,2520.0,1512.0
1026,Sapphire,Fit-Check,576.0,552.0
1026,Sapphire,Bonded,648.0,648.0
1026,Sapphire,Vacuum,648.0,672.0
1026,Sapphire,Post Bond Clean,672.0,672.0
1026,Sapphire,Pre-CICRW,2424.0,2472.0
1026,Sapphire,Frontside Overcoating,2472.0,792.0
1026,Sapphire,Clean & Classify,792.0,1176.0
1026,Sapphire,MAC,2520.0,2544.0
1026,Sapphire,LastTouchups,2544.0,2544.0
